Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,161.309998,163.309998,161.000000,162.059998,135.278397,5525500
2015-01-05,161.270004,161.270004,159.190002,159.509995,133.149841,4880400
2015-01-06,159.669998,159.960007,155.169998,156.070007,130.278320,6146700
2015-01-07,157.199997,157.199997,154.029999,155.050003,129.426880,4701800
2015-01-08,156.240005,159.039993,155.550003,158.419998,132.239990,4236800
2015-01-09,158.419998,160.339996,157.250000,159.110001,132.815948,4484800
2015-01-12,159.000000,159.250000,155.759995,156.440002,130.587219,4182800
2015-01-13,157.259995,159.970001,155.679993,156.809998,130.896027,4377500
2015-01-14,154.860001,156.490005,153.740005,155.800003,130.052948,4690300
2015-01-15,156.690002,156.970001,154.160004,154.570007,129.026199,4248400
2015-01-16,153.820007,157.630005,153.820007,157.139999,131.171494,5756000
2015-01-20,156.699997,157.330002,154.029999,156.949997,131.012863,8017800
2015-01-21,153.029999,154.500000,151.070007,152.089996,126.956032,11897100
2015-01-22,151.940002,155.720001,151.759995,155.389999,129.710678,6120100
2015-01-23,155.029999,157.600006,154.889999,155.869995,130.111374,4812200
2015-01-26,158.259995,159.460007,155.770004,156.360001,130.520401,7888100
2015-01-27,154.940002,155.089996,152.589996,153.669998,128.274918,5659600
2015-01-28,154.000000,154.529999,151.550003,151.550003,126.505280,4495900
2015-01-29,151.380005,155.580002,149.520004,155.479996,129.785812,8320800
2015-01-30,153.910004,155.240005,153.039993,153.309998,127.974457,6563600
2015-02-02,154.000000,154.660004,151.509995,154.660004,129.101334,4712200
2015-02-03,154.750000,158.600006,154.750000,158.470001,132.281693,5536300
2015-02-04,157.210007,158.710007,156.699997,156.960007,131.021240,3678500
2015-02-05,157.289993,158.589996,157.149994,157.910004,131.814255,5253600
2015-02-06,157.339996,158.080002,156.229996,156.720001,131.738586,3225000
2015-02-09,156.000000,157.500000,155.399994,155.750000,130.923187,3057700
2015-02-10,156.740005,158.559998,155.080002,158.559998,133.285309,4440600
2015-02-11,157.759995,159.089996,157.169998,158.199997,132.982666,3626700
2015-02-12,158.720001,159.500000,158.089996,158.520004,133.251663,3333100
2015-02-13,158.779999,160.800003,158.639999,160.399994,134.831985,3706900
2015-02-17,159.750000,161.410004,159.729996,160.960007,135.302734,2894500
2015-02-18,161.860001,162.470001,160.639999,162.190002,136.336655,4353700
2015-02-19,162.050003,164.490005,161.440002,163.889999,137.765640,3504400
2015-02-20,163.639999,164.339996,162.089996,163.649994,137.563934,3353000
2015-02-23,164.229996,164.399994,162.500000,162.910004,136.941879,2714400
2015-02-24,162.490005,164.990005,161.509995,164.830002,138.555862,4047200
2015-02-25,164.940002,164.960007,162.580002,162.809998,136.857803,4004600
2015-02-26,163.740005,164.139999,159.770004,160.869995,135.227066,7110800
2015-02-27,160.869995,162.289993,160.160004,161.940002,136.126526,4410000
2015-03-02,161.940002,161.940002,159.809998,160.479996,134.899246,5917900
2015-03-03,160.270004,161.750000,160.000000,161.029999,135.361572,3234400
2015-03-04,160.539993,160.559998,158.720001,159.419998,134.008194,3630500
2015-03-05,159.860001,161.500000,159.699997,161.179993,135.487656,3791700
2015-03-06,160.190002,161.440002,158.059998,158.500000,133.234833,4540200
2015-03-09,158.199997,161.149994,158.199997,160.770004,135.143036,5193900
2015-03-10,159.600006,160.229996,157.809998,157.809998,132.654831,4593300
2015-03-11,158.570007,159.139999,155.940002,156.800003,131.805847,5709900
2015-03-12,156.270004,158.720001,156.270004,157.979996,132.797729,4567300
2015-03-13,157.460007,157.520004,153.399994,154.279999,129.687546,6064100
2015-03-16,155.050003,157.089996,154.800003,157.080002,132.041214,3749600
2015-03-17,156.199997,157.289993,155.369995,156.960007,131.940323,3311700
